participant_id	sex	age	loc_AC	run_sess
suwo04	M	20	"-88,-133,-134"	"1,1,1,1,2,2,2,2,2,2"
suwo05	F	21	"-85,-119,-160"	"1,1,1,1,1,2,2,2,2,2"
